[4/15/22 09:28PM] Avalon used command ::voted | Player rights = PLAYER	
[4/15/22 09:28PM] Avalon used command ::claimvote | Player rights = PLAYER	
[4/15/22 09:28PM] Avalon used command ::claim | Player rights = PLAYER	
[4/15/22 09:32PM] Avalon used command ::Voted | Player rights = PLAYER	
[4/15/22 09:35PM] Avalon used command ::donate | Player rights = PLAYER	
[4/15/22 09:42PM] Avalon used command ::voted | Player rights = PLAYER	
[4/15/22 09:44PM] Avalon used command ::voted | Player rights = PLAYER	
[4/15/22 11:01PM] Avalon used command ::voted | Player rights = PLAYER	
[4/15/22 11:03PM] Avalon used command ::voted | Player rights = PLAYER	
[4/15/22 11:04PM] Avalon used command ::voted | Player rights = PLAYER	
[4/15/22 11:04PM] Avalon used command ::voted | Player rights = PLAYER	
[4/15/22 11:04PM] Avalon used command ::voted | Player rights = PLAYER	
[4/15/22 11:04PM] Avalon used command ::voted | Player rights = PLAYER	
[4/15/22 11:16PM] Avalon used command ::voted | Player rights = PLAYER	
[4/15/22 11:23PM] Avalon used command ::voted | Player rights = PLAYER	
[4/16/22 02:24PM] Avalon used command ::voted | Player rights = PLAYER	
[4/16/22 02:24PM] Avalon used command ::home | Player rights = PLAYER	
[4/16/22 02:24PM] Avalon used command ::voted | Player rights = PLAYER	
[4/16/22 02:35PM] Avalon used command ::item 17817  20 | Player rights = PLAYER	
[4/16/22 02:36PM] Avalon used command ::ITEM 17817 | Player rights = DEVELOPER	
[4/16/22 02:36PM] Avalon used command ::ITEM 17817 20 | Player rights = DEVELOPER	
[4/16/22 04:50PM] Avalon used command ::voted | Player rights = DEVELOPER	
[4/16/22 04:52PM] Avalon used command ::VOTED | Player rights = DEVELOPER	
[4/16/22 04:56PM] Avalon used command ::voted | Player rights = DEVELOPER	
[4/16/22 05:01PM] Avalon used command ::voted | Player rights = DEVELOPER	
[4/16/22 05:02PM] Avalon used command ::voted | Player rights = DEVELOPER	
[4/16/22 08:18PM] Avalon used command ::spawndonoboss | Player rights = DEVELOPER	
[4/16/22 08:18PM] Avalon used command ::donoboss | Player rights = DEVELOPER	
[4/16/22 08:41PM] Avalon used command ::spawndonoboss | Player rights = DEVELOPER	
[4/16/22 08:41PM] Avalon used command ::spawndonoboss | Player rights = DEVELOPER	
[4/16/22 08:41PM] Avalon used command ::spawndonationoss | Player rights = DEVELOPER	
[4/16/22 08:41PM] Avalon used command ::spawndonoboss | Player rights = DEVELOPER	
[4/16/22 08:41PM] Avalon used command ::spawndono | Player rights = DEVELOPER	
[4/16/22 08:41PM] Avalon used command ::donobossspawn | Player rights = DEVELOPER	
[4/16/22 08:42PM] Avalon used command ::spawndonoboss | Player rights = DEVELOPER	
[4/16/22 08:42PM] Avalon used command ::donoboss | Player rights = DEVELOPER	
[4/16/22 08:44PM] Avalon used command ::spawndonoboss | Player rights = DEVELOPER	
[4/16/22 08:50PM] Avalon used command ::spawndonoboss | Player rights = DEVELOPER	
[4/16/22 08:50PM] Avalon used command ::donoboss | Player rights = DEVELOPER	
[4/16/22 08:52PM] Avalon used command ::npc 3830 | Player rights = DEVELOPER	
