[6/7/22 01:54AM] Divine used command ::dissolveall | Player rights = PLAYER	
[6/13/22 02:15AM] Divine used command ::emerald | Player rights = MODERATOR	
[6/13/22 02:15AM] Divine used command ::sapphire | Player rights = MODERATOR	
[6/13/22 06:14PM] Divine used command ::find cloak of summer | Player rights = MODERATOR	
[6/15/22 09:49AM] Divine used command ::Globals | Player rights = MODERATOR	
[6/15/22 03:26PM] Divine used command ::seasonpass | Player rights = MODERATOR	
[6/15/22 03:45PM] Divine used command ::zones | Player rights = MODERATOR	
[6/15/22 03:45PM] Divine used command ::seasonpass | Player rights = MODERATOR	
[6/18/22 03:57PM] Divine used command ::bank | Player rights = MODERATOR	
[6/18/22 03:57PM] Divine used command ::item 6199 | Player rights = MODERATOR	
[6/18/22 03:58PM] Divine used command ::achievements | Player rights = MODERATOR	
[6/18/22 03:58PM] Divine used command ::achievements | Player rights = MODERATOR	
[6/18/22 04:09PM] Divine used command ::achievements | Player rights = MODERATOR	
[6/18/22 04:10PM] Divine used command ::achievements | Player rights = MODERATOR	
[6/18/22 04:13PM] Divine used command ::achevements | Player rights = MODERATOR	
[6/18/22 04:13PM] Divine used command ::achievements | Player rights = MODERATOR	
[6/18/22 04:54PM] Divine used command ::item 5210 1 | Player rights = MODERATOR	
[6/18/22 04:54PM] Divine used command ::item 5210 1 | Player rights = MODERATOR	
[6/18/22 08:05PM] Divine used command ::achievements | Player rights = MODERATOR	
[6/29/22 09:34AM] Divine used command ::tele 2112 4928 | Player rights = PLAYER	
[6/29/22 03:52PM] Divine used command ::bank | Player rights = PLAYER	
[6/29/22 07:44PM] Divine used command ::zones | Player rights = PLAYER	
[6/29/22 07:50PM] Divine used command ::repackindex4 | Player rights = PLAYER	
[6/29/22 07:50PM] Divine used command ::tele 2176 4480 | Player rights = PLAYER	
[6/29/22 07:51PM] Divine used command ::tele 2176 4480 | Player rights = PLAYER	
[7/1/22 08:25PM] Divine used command ::interface 77530 | Player rights = PLAYER	
[7/1/22 08:25PM] Divine used command ::interface 77530 | Player rights = PLAYER	
[7/1/22 08:25PM] Divine used command ::interface 77230 | Player rights = PLAYER	
[7/4/22 06:18PM] Divine used command ::find bod | Player rights = OWNER	
[7/4/22 06:18PM] Divine used command ::ind bond | Player rights = OWNER	
[7/4/22 06:18PM] Divine used command ::find bond | Player rights = OWNER	
[7/4/22 06:18PM] Divine used command ::item 6769 5 | Player rights = OWNER	
