[3/30/22 07:10PM] Avalon used command ::find skip scroll | Player rights = PLAYER
[3/30/22 07:10PM] Avalon used command ::find slayer | Player rights = PLAYER
[3/30/22 07:15PM] Avalon used command ::item 9719 | Player rights = DEVELOPER
[3/30/22 07:17PM] Avalon used command ::npc 8275 | Player rights = DEVELOPER
[3/30/22 07:18PM] Avalon used command ::master | Player rights = DEVELOPER
[3/30/22 08:01PM] Avalon used command ::staffzone | Player rights = DEVELOPER
[3/30/22 10:33PM] Avalon used command ::npc 504 | Player rights = DEVELOPER
[3/30/22 10:33PM] Avalon used command ::npc 585 | Player rights = DEVELOPER
[3/30/22 10:34PM] Avalon used command ::npc 1880 | Player rights = DEVELOPER
[3/30/22 10:34PM] Avalon used command ::npc 586 | Player rights = DEVELOPER
[3/30/22 10:34PM] Avalon used command ::npc 588 | Player rights = DEVELOPER
[3/30/22 10:34PM] Avalon used command ::npc 9020 | Player rights = DEVELOPER
[3/30/22 10:39PM] Avalon used command ::tele 2518 2522 | Player rights = DEVELOPER
[3/30/22 10:56PM] Avalon used command ::npc 1719 | Player rights = DEVELOPER
[3/30/22 10:56PM] Avalon used command ::tele 2605 2780 | Player rights = DEVELOPER
[3/30/22 10:56PM] Avalon used command ::tele 2126 4950 | Player rights = DEVELOPER
[3/30/22 11:03PM] Avalon used command ::tele 2730 4757 | Player rights = DEVELOPER
[3/30/22 11:04PM] Avalon used command ::tele 2518 2522 | Player rights = DEVELOPER
[3/30/22 11:06PM] Avalon used command ::edge | Player rights = DEVELOPER
[3/30/22 11:06PM] Avalon used command ::mypos | Player rights = DEVELOPER
[3/30/22 11:11PM] Avalon used command ::npc 1727 | Player rights = DEVELOPER
[3/30/22 11:13PM] Avalon used command ::NOCLIP | Player rights = DEVELOPER
[3/30/22 11:13PM] Avalon used command ::NOCLIP | Player rights = DEVELOPER
[3/30/22 11:13PM] Avalon used command ::noclip | Player rights = DEVELOPER
[3/30/22 11:13PM] Avalon used command ::tele 2578 2523 | Player rights = DEVELOPER
[3/30/22 11:14PM] Avalon used command ::tele 2578 2529 | Player rights = DEVELOPER
[3/30/22 11:14PM] Avalon used command ::mypos | Player rights = DEVELOPER
[3/30/22 11:26PM] Avalon used command ::repackindex4 | Player rights = DEVELOPER
[3/30/22 11:28PM] Avalon used command ::mypos | Player rights = DEVELOPER
[3/30/22 11:29PM] Avalon used command ::TELE 2585 2521 | Player rights = DEVELOPER
[3/30/22 11:29PM] Avalon used command ::MYPOS | Player rights = DEVELOPER
[3/30/22 11:29PM] Avalon used command ::MYPOS | Player rights = DEVELOPER
[3/30/22 11:31PM] Avalon used command ::TELE 2600 2522 | Player rights = DEVELOPER
[3/30/22 11:31PM] Avalon used command ::MYPOS | Player rights = DEVELOPER
[3/30/22 11:31PM] Avalon used command ::MYPOS | Player rights = DEVELOPER
[3/30/22 11:31PM] Avalon used command ::MYPOS | Player rights = DEVELOPER
[3/30/22 11:33PM] Avalon used command ::TELE 2570 252 | Player rights = DEVELOPER
