[3/29/22 11:07PM] Solak used command ::mypos | Player rights = DEVELOPER	
[3/29/22 11:12PM] Solak used command ::home | Player rights = DEVELOPER	
[3/29/22 11:12PM] Solak used command ::oldhome | Player rights = DEVELOPER	
[3/30/22 08:59AM] Solak used command ::zones | Player rights = DEVELOPER	
[3/30/22 09:00AM] Solak used command ::zones | Player rights = DEVELOPER	
[3/30/22 09:00AM] Solak used command ::bank | Player rights = DEVELOPER	
[3/30/22 09:09AM] Solak used command ::master | Player rights = DEVELOPER	
[3/30/22 09:10AM] Solak used command ::shops | Player rights = DEVELOPER	
[3/30/22 09:11AM] Solak used command ::item 10835 500m | Player rights = DEVELOPER	
[3/30/22 09:11AM] Solak used command ::item 5022 | Player rights = DEVELOPER	
[3/30/22 09:11AM] Solak used command ::item 5021 500m | Player rights = DEVELOPER	
[3/30/22 09:12AM] Solak used command ::find Avalon | Player rights = DEVELOPER
[3/30/22 09:12AM] Solak used command ::item 995 | Player rights = DEVELOPER	
[3/30/22 09:12AM] Solak used command ::item 995 50m | Player rights = DEVELOPER	
[3/30/22 09:12AM] Solak used command ::item 995 500m | Player rights = DEVELOPER	
[3/30/22 09:13AM] Solak used command ::item 995 5000b | Player rights = DEVELOPER	
[3/30/22 09:13AM] Solak used command ::item 995 50000m | Player rights = DEVELOPER	
[3/30/22 09:13AM] Solak used command ::item 995 50000m | Player rights = DEVELOPER	
[3/30/22 09:13AM] Solak used command ::item 995 500m | Player rights = DEVELOPER	
[3/30/22 09:13AM] Solak used command ::item 995 1000m | Player rights = DEVELOPER	
[3/30/22 09:15AM] Solak used command ::globl | Player rights = DEVELOPER	
[3/30/22 09:15AM] Solak used command ::global | Player rights = DEVELOPER	
[3/30/22 09:16AM] Solak used command ::master | Player rights = DEVELOPER	
[3/30/22 09:16AM] Solak used command ::god | Player rights = DEVELOPER	
[3/30/22 09:16AM] Solak used command ::item 8411 | Player rights = DEVELOPER	
[3/30/22 09:33AM] Solak used command ::find owner cape | Player rights = DEVELOPER	
[3/30/22 09:33AM] Solak used command ::item 21613 | Player rights = DEVELOPER	
[3/30/22 09:33AM] Solak used command ::item 22111 | Player rights = DEVELOPER	
[3/30/22 09:33AM] Solak used command ::item 22112 | Player rights = DEVELOPER	
[3/30/22 09:33AM] Solak used command ::find owners | Player rights = DEVELOPER	
[3/30/22 09:33AM] Solak used command ::item 22110 | Player rights = DEVELOPER	
[3/30/22 09:34AM] Solak used command ::item 22009 | Player rights = DEVELOPER	
[3/30/22 09:34AM] Solak used command ::item 22008 | Player rights = DEVELOPER	
[3/30/22 09:34AM] Solak used command ::item 22108 | Player rights = DEVELOPER	
[3/30/22 09:42AM] Solak used command ::master | Player rights = DEVELOPER	
[3/30/22 09:42AM] Solak used command ::god | Player rights = DEVELOPER	
[3/30/22 09:42AM] Solak used command ::god | Player rights = DEVELOPER	
[3/30/22 09:44AM] Solak used command ::upgrade | Player rights = DEVELOPER	
[3/30/22 09:44AM] Solak used command ::item 12855 | Player rights = DEVELOPER	
[3/30/22 10:06AM] Solak used command ::afk | Player rights = DEVELOPER	
[3/30/22 10:07AM] Solak used command ::mypos | Player rights = DEVELOPER	
[3/30/22 10:07AM] Solak used command ::tele 2655 3959 | Player rights = DEVELOPER	
[3/30/22 10:07AM] Solak used command ::tele 2655 3970 | Player rights = DEVELOPER	
[3/30/22 10:07AM] Solak used command ::tele 2655 3980 | Player rights = DEVELOPER	
[3/30/22 12:32PM] Solak used command ::item 8411 | Player rights = DEVELOPER	
[3/30/22 12:41PM] Solak used command ::item 19886 | Player rights = DEVELOPER	
[3/30/22 03:05PM] Solak used command ::find red party | Player rights = DEVELOPER	
[3/30/22 03:05PM] Solak used command ::item 1038 10 | Player rights = DEVELOPER	
[3/30/22 03:06PM] Solak used command ::item 995 500m | Player rights = DEVELOPER	
[3/30/22 03:06PM] Solak used command ::item 13531 | Player rights = DEVELOPER	
[3/30/22 03:06PM] Solak used command ::empty | Player rights = DEVELOPER	
[3/30/22 03:07PM] Solak used command ::empty | Player rights = DEVELOPER	
[3/30/22 03:07PM] Solak used command ::item 1038 | Player rights = DEVELOPER	
[3/30/22 03:07PM] Solak used command ::item 995 500k | Player rights = DEVELOPER	
[3/30/22 03:07PM] Solak used command ::item 12855 500m | Player rights = DEVELOPER	
