[6/8/22 09:28PM] Login. ip: 127.0.0.1, mac: K2103N008191020211125083625.000000-300, uuid: E8-F4-08-84-DE-87	
[6/8/22 09:29PM] Picked up gr.Item Spade, amount: 1	
[6/8/22 09:56PM] STARTER_BED|2332,4119,0|Said: 66888888888888888888888888888888888888888888888888888888888888888888888888888888	
[6/13/22 12:49AM] Login. ip: 127.0.0.1, mac: K2103N008191020211125083625.000000-300, uuid: E8-F4-08-84-DE-87	
[6/13/22 01:25AM] Login. ip: 127.0.0.1, mac: K2103N008191020211125083625.000000-300, uuid: E8-F4-08-84-DE-87	
[6/13/22 01:29AM] Login. ip: 127.0.0.1, mac: K2103N008191020211125083625.000000-300, uuid: E8-F4-08-84-DE-87	
[6/13/22 01:31AM] Login. ip: 127.0.0.1, mac: K2103N008191020211125083625.000000-300, uuid: E8-F4-08-84-DE-87	
[6/13/22 01:33AM] Login. ip: 127.0.0.1, mac: K2103N008191020211125083625.000000-300, uuid: E8-F4-08-84-DE-87	
[6/13/22 01:34AM] Login. ip: 127.0.0.1, mac: K2103N008191020211125083625.000000-300, uuid: E8-F4-08-84-DE-87	
[6/13/22 01:40AM] Login. ip: 127.0.0.1, mac: K2103N008191020211125083625.000000-300, uuid: E8-F4-08-84-DE-87	
[6/14/22 11:23PM] Login. ip: 127.0.0.1, mac: K2103N008191020211125083625.000000-300, uuid: E8-F4-08-84-DE-87	
[6/22/22 01:31AM] Login. ip: 127.0.0.1, mac: K2103N008191020211125083625.000000-300, uuid: E8-F4-08-84-DE-87	
[6/22/22 11:52AM] Login. ip: 127.0.0.1, mac: K2103N008191020211125083625.000000-300, uuid: E8-F4-08-84-DE-87	
[6/22/22 11:55AM] Login. ip: 127.0.0.1, mac: K2103N008191020211125083625.000000-300, uuid: E8-F4-08-84-DE-87	
[6/22/22 02:24PM] Login. ip: 127.0.0.1, mac: K2103N008191020211125083625.000000-300, uuid: E8-F4-08-84-DE-87	
[6/22/22 02:33PM] Login. ip: 127.0.0.1, mac: K2103N008191020211125083625.000000-300, uuid: E8-F4-08-84-DE-87	
[6/22/22 02:35PM] Login. ip: 127.0.0.1, mac: K2103N008191020211125083625.000000-300, uuid: E8-F4-08-84-DE-87	
[6/22/22 02:36PM] Login. ip: 127.0.0.1, mac: K2103N008191020211125083625.000000-300, uuid: E8-F4-08-84-DE-87	
[6/22/22 02:41PM] Login. ip: 127.0.0.1, mac: K2103N008191020211125083625.000000-300, uuid: E8-F4-08-84-DE-87	
[6/26/22 07:15PM] Login. ip: 127.0.0.1, mac: K2103N008191020211125083625.000000-300, uuid: E8-F4-08-84-DE-87	
